match_status,match_distance_m,match_confidence,google_name,google_address_full,google_street,google_suburb,google_state,google_lat,google_lng,google_address_missing,fc_id,fc_name,fc_brand,fc_brand_group,fc_address_full,fc_street,fc_suburb,fc_state,fc_postcode,fc_lat,fc_lng,fc_fuel_types,fc_num_fuel_types,fc_price_DL_cents,fc_price_E10_cents,fc_price_E85_cents,fc_price_LPG_cents,fc_price_P95_cents,fc_price_P98_cents,fc_price_PDL_cents,fc_price_U91_cents,fc_has_price_outlier
matched,14.5,high,BP,"Cnr Avenue & Cowles Roads, Mosman NSW 2088",Cnr Avenue & Cowles Roads,Mosman NSW 2088,,-33.832119,151.237416,false,300,BP Mosman (0926),BP,BP,"Cnr Avenue & Cowles Roads, Mosman NSW 2088",Cnr Avenue & Cowles Roads,Mosman,NSW,2088,-33.832039,151.237292,"E10,P95,P98,PDL",4,,189.9,,,205.9,214.9,279.9,,false
matched,14.6,high,Metro Petroleum Castle Cove,"327 Eastern Valley Way, Castle Cove NSW 2069",327 Eastern Valley Way,Castle Cove NSW 2069,,-33.784854,151.200886,false,1243,Metro Castle Cove,Metro Fuel,Metro,"327 Eastern Valley Way, Castle Cove NSW 2069",327 Eastern Valley Way,Castle Cove,NSW,2069,-33.784861,151.201044,"P95,P98,PDL,U91",4,,,,,205.9,214.9,274.9,187.9,false
matched,14.7,high,BP,"95-97 Ramsay St, Haberfield NSW 2045",95-97 Ramsay St,Haberfield NSW 2045,,-33.881700,151.140100,false,2240,BP Haberfield,BP,BP,"95-97 Ramsay St, Haberfield NSW 2045",95-97 Ramsay St,Haberfield,NSW,2045,-33.881623,151.140229,"E10,P98,PDL,U91",4,,185.9,,,,212.9,279.9,188.9,false
matched,14.9,high,BP,"155 Pennant Hills Rd, Normanhurst NSW 2076",155 Pennant Hills Rd,Normanhurst NSW 2076,,-33.724500,151.090100,false,1465,BP Normanhurst,BP,BP,"155 Pennant Hills Rd, Normanhurst NSW 2076",155 Pennant Hills Rd,Normanhurst,NSW,2076,-33.724599,151.089992,"P95,P98,PDL,U91",4,,,,,208.9,217.9,281.9,192.9,false
matched,15.3,high,7-Eleven,"238 Pacific Highway, Lindfield NSW 2070",238 Pacific Highway,Lindfield NSW 2070,,-33.778887,151.169068,false,250,7-Eleven Lindfield,7-Eleven,7-Eleven,"238 Pacific Highway, Lindfield NSW 2070",238 Pacific Highway,Lindfield,NSW,2070,-33.778889,151.168902,"E10,P98,PDL,U91",4,,192.9,,,,218.9,289.9,194.9,false
matched,15.6,high,EG Ampol,"158 Clyde Street (Cnr Redfern St), Granville NSW 2142",158 Clyde Street (Cnr Redfern St),Granville NSW 2142,,-33.846225,151.012658,false,503,EG Ampol Granville,EG Ampol,Ampol,"158 Clyde Street (Cnr Redfern St), Granville NSW 2142",158 Clyde Street (Cnr Redfern St),Granville,NSW,2142,-33.846235,151.012490,"E10,P95,P98,PDL",4,,181.9,,,193.9,208.9,289.9,,false
matched,15.7,high,7-Eleven,"301 Hume Hwy, Greenacre NSW 2190",301 Hume Hwy,Greenacre NSW 2190,,-33.905108,151.041897,false,17134,7-Eleven Greenacre,7-Eleven,7-Eleven,"301 Hume Hwy, Greenacre NSW 2190",301 Hume Hwy,Greenacre,NSW,2190,-33.905247,151.041867,"E10,LPG,P95,P98,PDL,U91",6,,197.9,,127.9,214.9,223.9,289.9,199.9,false
matched,16.0,high,Metro Fuel Greystanes,"73 Ettalong Rd, Greystanes NSW 2145",73 Ettalong Rd,Greystanes NSW 2145,,-33.818220,150.951400,false,1005,Metro Fuel Greystanes,Metro Fuel,Metro,"73 Ettalong Rd, Greystanes NSW 2145",73 Ettalong Rd,Greystanes,NSW,2145,-33.818292,150.951550,"E10,P98,PDL,U91",4,,184.3,,,,205.3,258.3,185.3,false
matched,16.3,high,Ampol Foodary Granville,"144 Parramatta Rd, Granville NSW 2142",144 Parramatta Rd,Granville NSW 2142,,-33.830331,151.010920,false,2374,Ampol Foodary Granville,Ampol Foodary,Ampol,"144 Parramatta Rd, Granville NSW 2142",144 Parramatta Rd,Granville,NSW,2142,-33.830266,151.010762,"E10,P95,P98,PDL,U91",5,,194.9,,,212.9,221.9,281.9,196.9,false
matched,17.0,high,Shell Otr Willoughby,"616-626 Willoughby Rd, Willoughby NSW 2068",616-626 Willoughby Rd,Willoughby NSW 2068,,-33.806007,151.198676,false,20594,Otr Willoughby,Shell,Shell,"616-626 Willoughby Rd, Willoughby NSW 2068",616-626 Willoughby Rd,Willoughby,NSW,2068,-33.805911,151.198819,"E10,P95,P98,PDL,U91",5,,183.9,,,203.4,212.9,273.9,185.9,false
matched,17.2,high,Fast & Ezy,"38A Gilba Rd, Girraween NSW 2145",38A Gilba Rd,Girraween NSW 2145,,-33.801907,150.951346,false,1836,Liberty Girraween,Liberty,Liberty,"38A Gilba Rd, Girraween NSW 2145",38A Gilba Rd,Girraween,NSW,2145,-33.801823,150.951190,"DL,E10,P95,P98,PDL,U91",6,290.9,196.9,,,216.9,226.9,288.9,197.9,false
matched,17.5,high,BP Truckstop,"3 Carlton Cres, Summer Hill NSW 2130",3 Carlton Cres,Summer Hill NSW 2130,,-33.892339,151.143105,false,1518,BP Summer Hill,BP,BP,"3 Carlton Cres, Summer Hill NSW 2130",3 Carlton Cres,Summer Hill,NSW,2130,-33.892492,151.143151,"E10,P95,P98,PDL,U91",5,,187.9,,,207.9,219.9,279.9,193.9,false
matched,17.6,high,Speedway Haberfield,"273 Parramatta Rd, Haberfield NSW 2045",273 Parramatta Rd,Haberfield NSW 2045,,-33.875045,151.128760,false,2026,Speedway Haberfield,Speedway,Speedway,"273 Parramatta Rd, Haberfield NSW 2045",273 Parramatta Rd,Haberfield,NSW,2045,-33.875166,151.128637,"DL,E10,LPG,P98,PDL,U91",6,273.7,185.7,,119.9,,212.7,275.7,187.7,false
matched,18.3,high,Shell,"9-11 Roberts Road, Greenacre NSW 2190",9-11 Roberts Road,Greenacre NSW 2190,,-33.894510,151.066697,false,369,Coles Express Greenacre,Coles Express,Ampol,"9-11 Roberts Road, Greenacre NSW 2190",9-11 Roberts Road,Greenacre,NSW,2190,-33.894346,151.066705,"DL,E10,P95,P98,U91",5,269.9,188.9,,,208.4,217.9,,190.9,false
matched,18.6,high,Speedway Fairfield,"251 The Horsley Drive, Fairfield NSW 2165",251 The Horsley Drive,Fairfield NSW 2165,,-33.871260,150.962967,false,1220,Speedway Fairfield,Speedway,Speedway,"251 The Horsley Drive, Fairfield NSW 2165",251 The Horsley Drive,Fairfield,NSW,2165,-33.871362,150.962808,"DL,E10,LPG,P98,U91",5,263.5,179.5,,200.0,,197.5,,181.5,false
matched,18.6,high,Temco Petroleum,"190 Waterloo Rd, Greenacre NSW 2190",190 Waterloo Rd,Greenacre NSW 2190,,-33.906242,151.057076,false,18454,Temco Petroleum,Temco Petroleum,Temco Petroleum,"190 Waterloo Rd, Greenacre NSW 2190",190 Waterloo Rd,Greenacre,NSW,2190,-33.906395,151.056994,"DL,P98,U91",3,249.9,,,,,199.9,,164.7,false
matched,19.5,high,Metro Petroleum Hurlstone Park,"13 Canterbury Rd, Canterbury NSW 2193",13 Canterbury Rd,Canterbury NSW 2193,,-33.907706,151.125401,false,20261,Metro Hurlstone Park,Metro Fuel,Metro,"13 Canterbury Rd, Canterbury NSW 2193",13 Canterbury Rd,Canterbury,NSW,2193,-33.907813,151.125233,"E10,P98,PDL,U91",4,,183.5,,,,209.5,278.5,186.5,false
matched,20.9,high,Westside Petroleum,"210 Guildford Road, Guildford NSW 2161",210 Guildford Road,Guildford NSW 2161,,-33.855092,150.990726,false,18146,Supreme Petroleum Guildford,Supreme Fuel,Supreme Fuel,"210 Guildford Road, Guildford NSW 2161",210 Guildford Road,Guildford,NSW,2161,-33.855179,150.990927,"E10,P95,P98,PDL,U91",5,,179.5,,,192.5,207.5,267.5,180.5,false
matched,21.0,high,BP Truckstop,"Cnr Silverwater Road & Derby Street, Silverwater NSW 2128",Cnr Silverwater Road & Derby Street,Silverwater NSW 2128,,-33.837512,151.046606,false,2252,BP Silverwater,BP,BP,"Cnr Silverwater Road & Derby Street, Silverwater NSW 2128",Cnr Silverwater Road & Derby Street,Silverwater,NSW,2128,-33.837648,151.046763,"DL,E10,P95,P98,PDL",5,276.9,186.9,,,203.9,212.9,279.9,,false
