station_id,station_name,brand,address,lat,lng,first_seen_at,last_seen_at,snapshots_seen,days_seen_count,day_set,latest_fuel_types,fuel_types_ever,ever_had_U91,ever_had_E10,ever_had_E85,ever_had_P95,ever_had_P98,ever_had_DL,ever_had_PDL,ever_had_LPG,ever_had_EV,ever_had_B20
18141,Gas to connect,Independent,"54c Fairfield Road, GUILDFORD WEST NSW 2161",-33.8472109,150.9623342,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,DL","U91,E10,P98,DL",true,true,false,false,true,true,false,false,false,false
1626,Harry's Fuel,Payless Fuel,"31-35 Unwins Bridge, Sydenham NSW 2044",-33.914718,151.168451,2026-04-02T19:08:37,2026-04-05T00:26:14,11,4,"2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,P95,PDL","U91,P95,PDL",true,false,false,true,false,false,true,false,false,false
1631,Independent Lalor Park,Independent,"Lot 8 Comercial Road, Lalor Park NSW 2147",-33.76283,150.930822,2026-04-02T19:08:37,2026-04-05T00:26:14,11,4,"2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,DL","U91,E10,P98,DL",true,true,false,false,true,true,false,false,false,false
1032,Independent Marrickville,Independent,"73-81 Marrickville Road, Marrickville NSW 2204",-33.913163,151.162094,2026-04-02T19:08:37,2026-04-05T00:26:14,11,4,"2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,P98,PDL,B20","U91,P98,PDL,B20",true,false,false,false,true,false,true,false,false,true
2001,Independent Turramurra,Independent,"105 Eastern Rd, Turramurra NSW 2074",-33.720245,151.131246,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,P98,DL","U91,P98,DL",true,false,false,false,true,true,false,false,false,false
20150,JACK & CO NORTHWOOD,BP,"7 NORTHWOOD RD, LONGUEVILLE NSW 2066",-33.82455262,151.17257358,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","E10,P95,P98,PDL","E10,P95,P98,PDL",false,true,false,true,true,false,true,false,false,false
18609,Jack & Co Lane Cove,Independent,"203 BURNS BAY RD, LANE COVE NSW 2066",-33.814598,151.1543531,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
1836,Liberty Girraween,Liberty,"38A Gilba Rd, Girraween NSW 2145",-33.801823,150.95119,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P95,P98,DL,PDL","U91,E10,P95,P98,DL,PDL",true,true,false,true,true,true,true,false,false,false
18703,METRO FUEL KILLARNEY HEIGHTS,Metro Fuel,"702-704 WARRINGAH RD, FORESTVILLE NSW 2087",-33.7617609,151.207051,2026-03-31T01:23:00,2026-04-05T00:26:14,16,6,"2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
20242,METRO PETROLEUM (HABERFIELD),Metro Fuel,"163-165 PARRAMATTA RD, HABERFIELD NSW 2045",-33.88364863,151.13453452,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
18492,METRO ROZELLE,Metro Fuel,"127 VICTORIA RD, ROZELLE NSW 2039",-33.8620438,151.1676701,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
18692,Medco Petroleum Carlingford,Independent,"286-288 Pennant Hills Road, Cnr Adderton Road, Carlingford NSW 2118",-33.78495,151.0435,2026-03-29T13:00:33,2026-04-05T00:26:14,20,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,P98,DL","U91,P98,DL",true,false,false,false,true,true,false,false,false,false
20218,Metro Barista Bar Croydon Park,Metro Fuel,"236-240 GEORGES RIVER RD, CROYDON PARK NSW 2133",-33.89641155,151.1052879,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
18533,Metro Canley Heights,Metro Fuel,"190 CANLEY VALE RD, CANLEY HEIGHTS NSW 2166",-33.8845269,150.928557,2026-04-02T19:08:37,2026-04-05T00:26:14,13,4,"2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
1243,Metro Castle Cove,Metro Fuel,"327 Eastern Valley Way, Castle Cove NSW 2069",-33.784861,151.201044,2026-03-31T01:23:00,2026-04-05T00:26:14,18,6,"2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,P95,P98,PDL","U91,P95,P98,PDL",true,false,false,true,true,false,true,false,false,false
20133,Metro Condell Park West,Metro Fuel,"130 EDGAR ST, CONDELL PARK NSW 2200",-33.91622449,151.0137335,2026-04-02T19:08:37,2026-04-05T00:26:14,11,4,"2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
17240,Metro Fuel,Metro Fuel,"36-38 Lane Cove Rd, RYDE NSW 2112",-33.8075114,151.1086039,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
1660,Metro Fuel Alexandria,Metro Fuel,"36 Henderson Road, Alexandria NSW 2015",-33.897447,151.197261,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
1046,Metro Fuel Canterbury,Metro Fuel,"280 Canterbury Road, Canterbury NSW 2193",-33.914023,151.115187,2026-04-02T19:08:37,2026-04-05T00:26:14,13,4,"2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
1516,Metro Fuel Cremorne,Metro Fuel,"51 Spofforth St, CREMORNE NSW 2090",-33.832753,151.229455,2026-03-31T01:23:00,2026-04-05T00:26:14,18,6,"2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
