station_id,station_name,brand,address,lat,lng,fuel_type,days_observed,days_available,days_unavailable,days_station_missing,first_unavailable_day,last_unavailable_day,longest_unavailable_streak_days,current_unavailable_streak_days,currently_unavailable,unavailability_rate_observed,latest_truth_fuel_types,fuel_types_ever
834,Ampol Foodary North Ryde,Ampol Foodary,"41-43 Epping Rd Cnr Wicks Rd, North Ryde NSW 2113",-33.79145,151.131185,P98,12,9,3,0,2026-03-29,2026-03-31,3,0,false,0.2500,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
17165,Ampol Foodary Rydalmere,Ampol Foodary,"309 Victoria Rd, RYDALMERE NSW 2116",-33.8119597,151.0371167,P98,12,9,3,0,2026-03-29,2026-03-31,3,0,false,0.2500,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
17165,Ampol Foodary Rydalmere,Ampol Foodary,"309 Victoria Rd, RYDALMERE NSW 2116",-33.8119597,151.0371167,U91,12,9,3,0,2026-03-29,2026-03-31,3,0,false,0.2500,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
2436,Ampol Foodary Waitara,Ampol Foodary,"59-61 Pacific Highway, WAITARA NSW 2077",-33.710531,151.102447,P95,10,7,3,2,2026-03-31,2026-04-02,3,0,false,0.3000,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
2436,Ampol Foodary Waitara,Ampol Foodary,"59-61 Pacific Highway, WAITARA NSW 2077",-33.710531,151.102447,P98,10,7,3,2,2026-03-31,2026-04-02,3,0,false,0.3000,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
413,Shell Reddy Express Dundas,Reddy Express,"199-203 Kissing Point Rd (Cnr Kirby St), Dundas NSW 2117",-33.799108,151.045362,U91,12,9,3,0,2026-03-29,2026-03-31,3,0,false,0.2500,"U91,E10,P95,P98,DL","U91,E10,P95,P98,DL"
17236,Ampol Foodary Guildford,Ampol Foodary,"636-644 Woodville Rd, OLD GUILDFORD NSW 2161",-33.8665036,150.9881451,P95,11,8,3,1,2026-03-29,2026-04-01,2,0,false,0.2727,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
782,Ampol Foodary Northmead,Ampol Foodary,"98-100 Windsor Rd Cnr Lombard Rd, Northmead NSW 2152",-33.788196,150.994927,P95,11,8,3,1,2026-04-02,2026-04-14,2,0,false,0.2727,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
602,Shell Reddy Express Wahroonga,Reddy Express,"1601 Pacific Hwy & Coonanbarra Rd, Wahroonga NSW 2076",-33.719557,151.11588,P98,12,9,3,0,2026-03-29,2026-04-04,2,0,false,0.2500,"U91,E10,P95,P98,DL,PDL","U91,E10,P95,P98,DL,PDL"
17329,Ampol Foodary Seven Hills,Ampol Foodary,"38 Abbott Rd, SEVEN HILLS NSW 2147",-33.7669285,150.9548252,P95,10,7,3,2,2026-03-29,2026-04-13,1,0,false,0.3000,"P95,P98,PDL","E10,P95,P98,PDL"
17139,7-Eleven Baulkham Hills,7-Eleven,"217-219 Seven Hills Rd, BAULKHAM HILLS NSW 2153",-33.7555124,150.963514,E10,12,10,2,0,2026-03-29,2026-03-30,2,0,false,0.1667,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL,LPG"
17139,7-Eleven Baulkham Hills,7-Eleven,"217-219 Seven Hills Rd, BAULKHAM HILLS NSW 2153",-33.7555124,150.963514,PDL,12,10,2,0,2026-03-29,2026-03-30,2,0,false,0.1667,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL,LPG"
17139,7-Eleven Baulkham Hills,7-Eleven,"217-219 Seven Hills Rd, BAULKHAM HILLS NSW 2153",-33.7555124,150.963514,U91,12,10,2,0,2026-03-29,2026-03-30,2,0,false,0.1667,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL,LPG"
17119,7-Eleven Camperdown,7-Eleven,"198 Parramatta Rd, CAMPERDOWN NSW 2050",-33.886973,151.174134,PDL,12,10,2,0,2026-03-29,2026-03-30,2,0,false,0.1667,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
146,7-Eleven Croydon Park,7-Eleven,"45 Georges River Road, Croydon Park NSW 2133",-33.894381,151.111446,PDL,12,10,2,0,2026-03-30,2026-03-31,2,0,false,0.1667,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
227,7-Eleven Epping,7-Eleven,"246 Beecroft & Carlingford Roads, Epping NSW 2121",-33.770913,151.081199,PDL,12,10,2,0,2026-03-29,2026-03-30,2,0,false,0.1667,"U91,E10,P98,PDL","U91,E10,P98,PDL"
17146,7-Eleven Five Dock,7-Eleven,"231-235 Great North Road, Five Dock NSW 2046",-33.86491,151.130081,U91,12,10,2,0,2026-03-29,2026-03-30,2,0,false,0.1667,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
221,7-Eleven Haberfield,7-Eleven,"25 Parramatta Road, Haberfield NSW 2045",-33.887908,151.142813,E10,12,10,2,0,2026-03-29,2026-03-30,2,0,false,0.1667,"U91,E10,P95,P98,PDL,LPG","U91,E10,P95,P98,PDL,LPG"
221,7-Eleven Haberfield,7-Eleven,"25 Parramatta Road, Haberfield NSW 2045",-33.887908,151.142813,PDL,12,10,2,0,2026-03-29,2026-03-30,2,0,false,0.1667,"U91,E10,P95,P98,PDL,LPG","U91,E10,P95,P98,PDL,LPG"
137,7-Eleven North Rocks,7-Eleven,"340 North Rocks Road, North Rocks NSW 2151",-33.768977,151.03069,PDL,12,10,2,0,2026-03-29,2026-03-30,2,0,false,0.1667,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
