station_id,station_name,brand,address,lat,lng,status,status_label,usual_fuel_types,usual_petrol_types,available_now,unavailable_now,usual_fuel_count,basis_fuel_count,unavailable_count,unavailable_ratio_pct,max_current_streak_days,completely_out_of_all_usual
1086,APEX PETROLEUM (WEST RYDE),Independent,"898-902 Victoria Rd, West Ryde NSW 2114",-33.81186,151.094724,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
975,APEX PETROLEUM VILLAWOOD,Independent,"896A Woodville Rd, Villawood NSW 2163",-33.883891,150.976027,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
1582,APW,APW,"449 Great Western Highway, WENTWORTHVILLE NSW 2145",-33.813328,150.95825,green,All usual fuels available,"P95,P98,PDL,U91","P95,P98,U91","P95,P98,U91",,4,3,0,0.0,0,false
20831,ASTRON YAGOONA WEST,ASTRON,"100 ROOKWOOD RD, YAGOONA NSW 2199",-33.89929301,151.03686165,green,All usual fuels available,"DL,E10,E85,LPG,P98,U91","E10,E85,P98,U91","E10,E85,P98,U91",,6,4,0,0.0,0,false
1109,Ampol Auburn,Ampol,"179 Parramatta Road, Auburn NSW 2144",-33.84108,151.035998,green,All usual fuels available,"DL,E10,LPG,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,7,4,0,0.0,0,false
16909,Ampol Foodary Alexandria,Ampol Foodary,"133 Wyndham Street, ALEXANDRIA NSW 2015",-33.902032,151.200054,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
942,Ampol Foodary Chatswood,Ampol Foodary,"572 Pacific Hwy, Chatswood NSW 2067",-33.803715,151.179001,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
17362,Ampol Foodary Croydon,Ampol Foodary,"404-410 Liverpool Rd, CROYDON NSW 2132",-33.8884725,151.1157289,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
2338,Ampol Foodary Ermington,Ampol Foodary,"560-562 Victoria Road, ERMINGTON NSW 2115",-33.81396,151.054799,green,All usual fuels available,"P95,P98,PDL,U91","P95,P98,U91","P95,P98,U91",,4,3,0,0.0,0,false
17581,Ampol Foodary Five Dock,Ampol Foodary,"Ramsay Rd & Fairlight Street, FIVE DOCK NSW 2046",-33.870023,151.130434,green,All usual fuels available,"E10,PDL,U91","E10,U91","E10,U91",,3,2,0,0.0,0,false
2374,Ampol Foodary Granville,Ampol Foodary,"144 Parramatta Rd, GRANVILLE NSW 2142",-33.830266,151.010762,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
18447,Ampol Foodary Greenacre,Ampol Foodary,"87-91 ROBERTS RD, GREENACRE NSW 2190",-33.9046146,151.0648619,green,All usual fuels available,"DL,P98,PDL,U91","P98,U91","P98,U91",,4,2,0,0.0,0,false
17236,Ampol Foodary Guildford,Ampol Foodary,"636-644 Woodville Rd, OLD GUILDFORD NSW 2161",-33.8665036,150.9881451,green,All usual fuels available,"P95,P98,PDL,U91","P95,P98,U91","P95,P98,U91",,4,3,0,0.0,0,false
17269,Ampol Foodary Homebush,Ampol Foodary,"334-336 Parramatta Rd, HOMEBUSH WEST NSW 2140",-33.8581667,151.0681389,green,All usual fuels available,"E10,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,4,3,0,0.0,0,false
18264,Ampol Foodary Lane Cove West,Ampol Foodary,"UNIT 1 237-245 BURNS BAY RD, LANE COVE WEST NSW 2066",-33.816452,151.1513941,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
16915,Ampol Foodary Lansvale,Ampol Foodary,"141-151 Hume Highway Cnr Chadderton St, LANSVALE NSW 2166",-33.894328,150.957208,green,All usual fuels available,"P95,P98,PDL,U91","P95,P98,U91","P95,P98,U91",,4,3,0,0.0,0,false
16908,Ampol Foodary Merrylands,Ampol Foodary,"150 Woodville Rd, MERRYLANDS NSW 2160",-33.838025,150.99969,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
787,Ampol Foodary Neutral Bay,Ampol Foodary,"16-38 Military Rd, Neutral Bay NSW 2089",-33.8290796,151.2162998,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
834,Ampol Foodary North Ryde,Ampol Foodary,"41-43 Epping Rd Cnr Wicks Rd, North Ryde NSW 2113",-33.79145,151.131185,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
17165,Ampol Foodary Rydalmere,Ampol Foodary,"309 Victoria Rd, RYDALMERE NSW 2116",-33.8119597,151.0371167,green,All usual fuels available,"P95,P98,PDL,U91","P95,P98,U91","P95,P98,U91",,4,3,0,0.0,0,false
17329,Ampol Foodary Seven Hills,Ampol Foodary,"38 Abbott Rd, SEVEN HILLS NSW 2147",-33.7669285,150.9548252,green,All usual fuels available,"E10,P95,P98,PDL","E10,P95,P98","E10,P95,P98",,4,3,0,0.0,0,false
710,Ampol Foodary Seven Hills,Ampol Foodary,"105 Station Rd Cnr Powers St, Seven Hills NSW 2147",-33.773892,150.944345,green,All usual fuels available,"DL,P95,P98,PDL,U91","P95,P98,U91","P95,P98,U91",,5,3,0,0.0,0,false
18253,Ampol Foodary St Ives,Ampol Foodary,"164 Mona Vale Road, ST IVES NSW 2075",-33.7307318,151.157048,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
2305,Ampol Foodary Strathfield South,Ampol Foodary,"600 Liverpool Rd, STRATHFIELD SOUTH NSW 2136",-33.888188,151.074621,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
1306,Ampol Hornsby Heights,Ampol,"110 Galston Rd., Hornsby Heights NSW 2077",-33.676494,151.098403,green,All usual fuels available,"P95,P98,PDL,U91","P95,P98,U91","P95,P98,U91",,4,3,0,0.0,0,false
20207,Astron Yagoona,ASTRON,"45 ROOKWOOD RD, YAGOONA NSW 2199",-33.90187688,151.03717836,green,All usual fuels available,"DL,E10,E85,LPG,P95,P98,U91","E10,E85,P95,P98,U91","E10,E85,P95,P98,U91",,7,5,0,0.0,0,false
18009,BOBBIN HEAD PETROL STATION,Independent,"313 Bobbin Head Road, NORTH TURRAMURRA NSW 2074",-33.7088474,151.1482707,green,All usual fuels available,"DL,E10,P98,U91","E10,P98,U91","E10,P98,U91",,4,3,0,0.0,0,false
344,BP Artarmon,BP,"422 Pacific Hwy, Artarmon NSW 2064",-33.811441,151.175636,green,All usual fuels available,"E10,P95,P98,PDL","E10,P95,P98","E10,P95,P98",,4,3,0,0.0,0,false
345,BP Ashfield,BP,"580-586 Parramatta Road, Croydon NSW 2132",-33.87388,151.12688,green,All usual fuels available,"E10,P95,P98,PDL","E10,P95,P98","E10,P95,P98",,4,3,0,0.0,0,false
322,BP Asquith,BP,"Cnr Pacific Highway & Jersey Street, Asquith NSW 2077",-33.689447,151.106412,green,All usual fuels available,"E10,P95,P98,PDL","E10,P95,P98","E10,P95,P98",,4,3,0,0.0,0,false
1783,BP Baulkham Hills,BP,"134 Seven Hills Rd, Baulkham Hills NSW 2153",-33.761658,150.974041,green,All usual fuels available,"E10,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,4,3,0,0.0,0,false
18099,BP CONCORD,BP,"20 Burwood Road, CONCORD NSW 2137",-33.8675406,151.1053024,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
326,BP Canterbury,BP,"322 Canterbury Road, Canterbury NSW 2193",-33.914974,151.113038,green,All usual fuels available,"E10,P95,P98,PDL","E10,P95,P98","E10,P95,P98",,4,3,0,0.0,0,false
281,BP Carlingford,BP,"712 Pennant Hills Road, Carlingford NSW 2118",-33.763701,151.047355,green,All usual fuels available,"E10,P95,P98,PDL","E10,P95,P98","E10,P95,P98",,4,3,0,0.0,0,false
1198,BP Denistone East,BP,"295 Quarry Rd, Denistone East NSW 2112",-33.795773,151.102887,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
1793,BP Dundas,BP,"256 Kissing Point Rd, DUNDAS NSW 2117",-33.798888,151.054368,green,All usual fuels available,"E10,P95,P98,PDL","E10,P95,P98","E10,P95,P98",,4,3,0,0.0,0,false
1706,BP Edgecliff,BP,"67 New South Head Rd, EDGECLIFF NSW 2027",-33.876974,151.231099,green,All usual fuels available,"E10,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,4,3,0,0.0,0,false
1206,BP Enfield,BP,"184 Liverpool Road, Enfield NSW 2136",-33.887232,151.097782,green,All usual fuels available,"E10,P98,PDL","E10,P98","E10,P98",,3,2,0,0.0,0,false
17975,BP FOX HILLS,BP,"152 Toongabbie Rd, GIRRAWEEN NSW 2145",-33.7956395,150.9390745,green,All usual fuels available,"P98,PDL,U91","P98,U91","P98,U91",,3,2,0,0.0,0,false
17345,BP Fairfield,BP,"183 The Horsley Drive, FAIRFIELD EAST NSW 2165",-33.87784,150.966162,green,All usual fuels available,"DL,P95,P98,PDL,U91","P95,P98,U91","P95,P98,U91",,5,3,0,0.0,0,false
1393,BP Greystanes,BP,"2-4 Kippax St, Greystanes NSW 2145",-33.827913,150.937925,green,All usual fuels available,"E10,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,4,3,0,0.0,0,false
2221,BP Guildford,BP,"257 Guildford Rd, GUILDFORD NSW 2161",-33.85437,150.988836,green,All usual fuels available,"DL,E10,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,5,3,0,0.0,0,false
2240,BP Haberfield,BP,"95-97 Ramsay St, HABERFIELD NSW 2045",-33.881623,151.140229,green,All usual fuels available,"E10,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,4,3,0,0.0,0,false
327,BP Hornsby,BP,"Cnr George St and Burdett St, Hornsby NSW 2077",-33.702337,151.099325,green,All usual fuels available,"P98,PDL,U91","P98,U91","P98,U91",,3,2,0,0.0,0,false
1795,BP Lane Cove,BP,"62-70 Epping Rd, Lane Cove NSW 2066",-33.811106,151.164217,green,All usual fuels available,"E10,LPG,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,5,3,0,0.0,0,false
1752,BP Mays Hill,BP,"149 Great Western Hwy, Mays Hill NSW 2145",-33.819412,150.989313,green,All usual fuels available,"DL,E10,LPG,P95,P98,PDL","E10,P95,P98","E10,P95,P98",,6,3,0,0.0,0,false
1590,BP Merrylands West,BP,"65 Kenyons Road, Merrylands West NSW 2160",-33.836829,150.968399,green,All usual fuels available,"E10,P95,P98,PDL","E10,P95,P98","E10,P95,P98",,4,3,0,0.0,0,false
373,BP Mosman (9542),BP,"175 Ourimbah Road, Mosman NSW 2088",-33.821068,151.233292,green,All usual fuels available,"E10,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,4,3,0,0.0,0,false
301,BP Naremburn,BP,"169 Willoughby Road, Naremburn NSW 2065",-33.820024,151.201159,green,All usual fuels available,"P95,P98,PDL","P95,P98","P95,P98",,3,2,0,0.0,0,false
1465,BP Normanhurst,BP,"155 Pennant Hills Rd, Normanhurst NSW 2076",-33.724599,151.089992,green,All usual fuels available,"P95,P98,PDL,U91","P95,P98,U91","P95,P98,U91",,4,3,0,0.0,0,false
1496,BP North Rocks,BP,"369 North Rocks Rd, North Rocks NSW 2151",-33.769346,151.031858,green,All usual fuels available,"E10,P95,P98,PDL","E10,P95,P98","E10,P95,P98",,4,3,0,0.0,0,false
